"","SpecID","date","away_team","away_team_game_number","home_team","home_team_game_number","away_score","home_score","away_AB","away_H","away_2B","away_3B","away_HR","away_RBI","away_SH","away_SF","away_HBP","away_BB","away_IBB","away_SO","away_SB","away_CS","away_GIDP","away_left_on_base","home_AB","home_H","home_2B","home_3B","home_HR","home_RBI","home_SH","home_SF","home_HBP","home_BB","home_IBB","home_SO","home_SB","home_CS","home_GIDP","home_left_on_base"
"1","1 2019",2019-03-20,"SEA",1,"OAK",1,9,7,31,7,1,0,2,9,1,1,2,6,0,10,2,1,0,5,35,9,3,0,3,7,0,0,0,3,0,8,0,0,2,4
"2","2 2019",2019-03-21,"SEA",2,"OAK",2,5,4,43,9,4,0,2,5,0,1,2,5,0,9,1,0,1,10,46,10,1,0,0,3,0,0,0,6,0,10,0,0,1,12
"3","3 2019",2019-03-28,"PIT",1,"CIN",1,3,5,31,5,0,0,1,3,1,0,0,7,0,11,0,0,0,9,31,6,3,0,2,5,0,0,0,3,0,8,0,1,0,5
"4","4 2019",2019-03-28,"ARI",1,"LAN",1,5,12,33,9,4,0,2,5,0,2,0,0,0,10,0,0,1,3,35,12,1,0,8,12,1,0,0,3,0,3,0,0,0,3
"5","5 2019",2019-03-28,"COL",1,"MIA",1,6,3,36,9,5,0,1,5,0,0,0,3,0,7,0,0,0,6,32,4,0,0,3,3,0,0,1,1,0,7,0,0,0,4
"6","6 2019",2019-03-28,"SLN",1,"MIL",1,4,5,32,5,0,0,3,4,0,0,0,2,0,11,0,0,0,3,30,7,0,0,3,5,0,0,0,2,0,5,0,0,1,3
"7","7 2019",2019-03-28,"ATL",1,"PHI",1,4,10,30,7,1,0,1,4,0,0,0,6,0,9,1,1,1,5,31,7,0,0,3,10,0,0,0,6,2,9,0,0,0,3
"8","8 2019",2019-03-28,"SFN",1,"SDN",1,0,2,30,5,0,0,0,0,0,0,0,1,0,5,0,0,0,4,27,6,1,0,1,2,0,0,0,1,0,9,0,1,2,2
"9","9 2019",2019-03-28,"NYN",1,"WAS",1,2,0,31,5,0,0,1,2,0,0,0,3,0,12,0,1,0,5,31,5,1,0,0,0,0,0,1,1,0,14,3,0,0,6
"10","10 2019",2019-03-28,"CHA",1,"KCA",1,3,5,31,4,0,0,0,3,0,0,1,4,0,5,0,0,0,6,31,5,1,2,0,4,0,1,1,3,0,7,2,0,0,7
"11","11 2019",2019-03-28,"CLE",1,"MIN",1,0,2,29,2,1,0,0,0,0,0,0,1,0,13,0,0,0,3,28,4,2,0,0,2,0,0,2,1,0,6,0,0,0,5
"12","12 2019",2019-03-28,"BAL",1,"NYA",1,2,7,34,8,1,0,0,2,0,0,0,1,0,9,0,0,0,6,29,9,1,0,2,6,0,1,1,8,0,8,0,0,2,8
"13","13 2019",2019-03-28,"ANA",1,"OAK",3,0,4,28,3,1,0,0,0,0,0,1,4,0,3,0,0,2,6,30,7,1,1,2,4,0,1,0,1,0,4,1,0,0,4
"14","14 2019",2019-03-28,"BOS",1,"SEA",3,4,12,38,11,3,0,0,4,0,1,0,1,0,8,2,0,1,9,36,12,2,1,5,11,0,1,2,4,0,9,0,0,0,7
"15","15 2019",2019-03-28,"HOU",1,"TBA",1,5,1,35,10,3,0,3,5,0,0,0,2,0,8,0,2,0,5,31,4,1,0,1,1,0,0,2,1,0,12,0,0,0,6
"16","16 2019",2019-03-28,"CHN",1,"TEX",1,12,4,37,13,3,0,3,11,0,0,1,8,0,7,0,1,2,7,32,6,1,0,2,4,0,0,0,2,0,6,0,1,0,3
"17","17 2019",2019-03-28,"DET",1,"TOR",1,2,0,32,4,1,0,1,2,0,0,1,4,0,15,0,1,1,5,32,2,0,0,0,0,0,0,0,1,0,7,0,0,0,3
"18","18 2019",2019-03-29,"ARI",2,"LAN",2,5,4,50,10,3,0,1,5,0,0,0,6,2,15,1,0,0,12,45,11,1,0,1,4,2,0,1,12,0,14,1,1,1,17
"19","19 2019",2019-03-29,"COL",2,"MIA",2,6,1,38,11,4,0,0,6,0,0,0,4,0,5,1,0,0,9,27,2,0,0,1,1,0,0,1,3,0,9,0,2,0,3
"20","20 2019",2019-03-29,"SLN",2,"MIL",2,9,5,40,14,3,0,3,8,1,0,1,7,1,10,0,0,0,13,31,8,1,0,2,5,0,1,1,2,0,8,0,1,2,3
"21","21 2019",2019-03-29,"SFN",2,"SDN",2,1,4,33,6,3,0,1,1,0,0,1,3,0,12,0,0,0,9,28,8,2,0,1,4,0,1,1,4,0,9,1,0,0,6
"22","22 2019",2019-03-29,"ANA",2,"OAK",4,6,2,35,10,2,0,0,6,0,0,0,4,1,3,0,0,3,6,32,7,1,0,1,2,0,0,0,4,0,5,0,0,2,7
"23","23 2019",2019-03-29,"BOS",2,"SEA",4,7,6,34,8,1,0,4,6,0,0,1,3,0,8,0,0,2,4,34,8,2,0,3,6,0,2,0,4,0,10,1,0,0,7
"24","24 2019",2019-03-29,"HOU",2,"TBA",2,2,4,31,6,1,0,0,2,0,0,1,4,0,10,1,0,1,7,31,6,0,0,1,4,0,0,0,1,0,13,1,0,0,4
"25","25 2019",2019-03-29,"DET",2,"TOR",2,0,6,29,2,1,1,0,0,0,0,0,2,0,9,0,0,0,4,31,7,0,1,0,5,0,0,0,3,0,12,0,0,0,4
"26","26 2019",2019-03-30,"ARI",3,"LAN",3,5,18,32,7,0,0,4,5,0,0,0,3,0,7,0,0,2,3,41,19,3,0,4,18,1,0,3,6,1,4,0,0,1,9
"27","27 2019",2019-03-30,"COL",3,"MIA",3,3,7,34,8,0,1,0,3,0,1,1,0,0,14,0,0,0,6,38,16,4,0,0,7,0,1,0,1,0,3,0,0,1,9
"28","28 2019",2019-03-30,"SLN",3,"MIL",3,2,4,33,7,2,0,0,2,1,0,0,1,0,11,1,0,0,6,33,8,0,0,3,4,0,0,0,5,1,9,0,0,0,10
"29","29 2019",2019-03-30,"ATL",2,"PHI",2,6,8,36,10,2,1,2,6,0,0,0,4,0,9,1,0,1,7,31,9,2,1,3,8,0,0,0,5,1,9,1,1,0,4
"30","30 2019",2019-03-30,"SFN",3,"SDN",3,3,2,34,9,4,0,0,3,0,0,3,2,0,9,1,0,1,9,35,8,3,0,0,2,0,0,0,0,0,9,2,0,1,6
"31","31 2019",2019-03-30,"NYN",2,"WAS",2,11,8,40,14,4,1,0,10,1,0,0,5,0,11,0,0,0,8,36,9,4,0,1,8,0,1,2,3,0,11,1,0,0,7
"32","32 2019",2019-03-30,"CHA",2,"KCA",2,6,8,36,10,1,0,2,6,0,0,0,2,0,10,1,0,1,5,32,10,3,0,0,8,1,0,1,5,0,4,1,0,1,7
"33","33 2019",2019-03-30,"CLE",2,"MIN",2,2,1,30,4,0,0,1,2,0,1,0,3,0,13,0,0,0,5,28,2,1,1,0,1,0,0,1,3,1,10,0,0,1,4
"34","34 2019",2019-03-30,"BAL",2,"NYA",2,5,3,36,9,2,0,0,4,0,0,0,1,0,9,2,0,1,5,35,10,1,0,1,3,0,0,0,6,0,9,0,0,2,11
"35","35 2019",2019-03-30,"ANA",3,"OAK",5,2,4,33,6,2,0,0,2,0,1,0,2,0,7,0,0,0,7,31,7,0,0,1,4,0,0,1,2,0,6,0,0,0,6
